@RELATION Sasmos
@ATTRIBUTE class0 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class1 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class2 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class3 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class4 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class5 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class6 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class7 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class8 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class9 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}
@ATTRIBUTE class10 {guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,pswmiMauro,xumos,kaisara,aggourontomata,guroKotopoulo,marouli,turokroketes,pswmiPolusporo,mpura,mpiftekiLaxanikwn,giaourtiMeli,nero,kalamari,milkshake,kotompoukies}

@DATA
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,froutosalata,patates,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,milkshake,?,?
xwriatikh,aggourontomata,kotompoukies,turokroketes,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,turokroketes,giaourtiMeli,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,aggourontomata,patates,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,froutosalata,patates,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,aggourontomata,patates,milkshake,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,turokroketes,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,pagwto,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,giaourtiMeli,?,?,?
marouli,pswmiMauro,nero,xumos,kaisara,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,patates,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,marouli,nero,kaisara,patates,pagwto,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,giaourtiMeli,milkshake,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,turokroketes,milkshake,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,turokroketes,pagwto,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,froutosalata,patates,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,giaourtiMeli,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,turokroketes,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,giaourtiMeli,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
guroXoirino,nero,?,?,?,?,?,?,?,?,?
aggourontomata,patates,?,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,milkshake,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,aggourontomata,froutosalata,patates,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,pagwto,milkshake,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,kaisara,patates,turokroketes,milkshake,?,?,?,?
nero,patates,milkshake,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,froutosalata,patates,?,?
kalamari,turokroketes,milkshake,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,?,?,?,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,patates,pagwto,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,froutosalata,patates,turokroketes,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,aggourontomata,patates,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,aggourontomata,froutosalata,patates,giaourtiMeli,?,?
marouli,pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,froutosalata,patates,turokroketes,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,patates,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,pagwto,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,froutosalata,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,froutosalata,patates,giaourtiMeli,?
mpiftekiLaxanikwn,patates,giaourtiMeli,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,anapsuktiko,patates,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,kaisara,patates,milkshake,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,aggourontomata,patates,milkshake,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,turokroketes,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,turokroketes,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,pagwto,?,?
kalamari,xwriatikh,marouli,mpura,patates,giaourtiMeli,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,patates,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,patates,turokroketes,giaourtiMeli,?,?,?
pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,aggourontomata,froutosalata,patates,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,aggourontomata,patates,giaourtiMeli,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,froutosalata,patates,pagwto,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,turokroketes,?,?,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,pagwto,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,anapsuktiko,froutosalata,patates,?,?,?,?
mpiftekiLaxanikwn,aggourontomata,froutosalata,?,?,?,?,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?
marouli,pswmiMauro,xumos,kaisara,patates,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,marouli,pswmiMauro,anapsuktiko,patates,milkshake,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,turokroketes,?,?,?,?,?
marouli,patates,turokroketes,?,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,giaourtiMeli,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,aggourontomata,froutosalata,turokroketes,?,?,?,?
kalamari,aggourontomata,pagwto,?,?,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,patates,giaourtiMeli,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,turokroketes,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,turokroketes,giaourtiMeli,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,froutosalata,giaourtiMeli,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,aggourontomata,patates,giaourtiMeli,?,?,?
pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,patates,?,?,?,?,?,?
marouli,kotompoukies,giaourtiMeli,?,?,?,?,?,?,?,?
xwriatikh,pswmiMauro,milkshake,?,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,aggourontomata,patates,milkshake,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,milkshake,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,froutosalata,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,giaourtiMeli,?,?
kalamari,xwriatikh,marouli,mpura,aggourontomata,patates,pagwto,?,?,?,?
guroKotopoulo,xwriatikh,marouli,froutosalata,patates,turokroketes,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,aggourontomata,patates,giaourtiMeli,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,patates,milkshake,?,?,?,?,?
saganaki,marouli,pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?
pswmiMauro,xumos,kaisara,patates,?,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,nero,froutosalata,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,giaourtiMeli,?,?
saganaki,patates,pagwto,?,?,?,?,?,?,?,?
marouli,pswmiMauro,nero,xumos,kaisara,froutosalata,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiMauro,anapsuktiko,patates,giaourtiMeli,milkshake,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,patates,giaourtiMeli,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,turokroketes,pagwto,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,froutosalata,patates,?,?,?,?,?
mpiftekiLaxanikwn,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,milkshake,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
pswmiMauro,xumos,kaisara,patates,milkshake,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,aggourontomata,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,aggourontomata,patates,?
mpiftekiLaxanikwn,marouli,giaourtiMeli,milkshake,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,giaourtiMeli,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,patates,giaourtiMeli,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,turokroketes,?,?
mpiftekiLaxanikwn,saganaki,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,patates,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,pagwto,giaourtiMeli,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,patates,?,?,?,?,?
pswmiMauro,xumos,kaisara,aggourontomata,patates,?,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,pagwto,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,aggourontomata,patates,?,?,?
kalamari,xwriatikh,marouli,mpura,nero,patates,turokroketes,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,giaourtiMeli,milkshake,?,?,?,?
saganaki,marouli,kaisara,aggourontomata,kotompoukies,?,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiMauro,pswmiPolusporo,anapsuktiko,froutosalata,patates,turokroketes,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,nero,froutosalata,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,froutosalata,patates,pagwto,milkshake
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,aggourontomata,patates,pagwto,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,froutosalata,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,turokroketes,?
nero,xumos,giaourtiMeli,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,patates,milkshake,?,?,?,?
pswmiMauro,xumos,kaisara,patates,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,nero,patates,giaourtiMeli
pswmiMauro,xumos,kaisara,milkshake,?,?,?,?,?,?,?
marouli,pswmiMauro,xumos,kaisara,froutosalata,pagwto,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,giaourtiMeli,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,aggourontomata,patates,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,froutosalata,turokroketes,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,giaourtiMeli,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,aggourontomata,patates,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,anapsuktiko,patates,?,?,?,?
saganaki,froutosalata,patates,turokroketes,?,?,?,?,?,?,?
saganaki,pswmiMauro,nero,xumos,kaisara,froutosalata,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,?,?,?,?,?
xwriatikh,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,patates,turokroketes,giaourtiMeli,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,aggourontomata,patates,turokroketes
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?
guroKotopoulo,xwriatikh,saganaki,pswmiLeuko,xumos,froutosalata,patates,giaourtiMeli,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?,?
marouli,pswmiMauro,xumos,kaisara,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,?,?,?,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,nero,turokroketes,giaourtiMeli,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,patates,pagwto,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,?,?,?,?,?
saganaki,pswmiMauro,xumos,kaisara,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,pagwto,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,nero,turokroketes,?,?,?,?,?
pswmiMauro,xumos,kaisara,giaourtiMeli,?,?,?,?,?,?,?
mpiftekiLaxanikwn,marouli,froutosalata,milkshake,?,?,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,aggourontomata,froutosalata,patates,turokroketes
pswmiMauro,xumos,kaisara,aggourontomata,milkshake,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,turokroketes,?,?
mpiftekiLaxanikwn,marouli,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,kaisara,patates,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,kaisara,patates,?,?
guroKotopoulo,xwriatikh,marouli,nero,patates,milkshake,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,turokroketes,?,?,?,?,?,?
kalamari,xwriatikh,saganaki,marouli,mpura,nero,patates,giaourtiMeli,?,?,?
mpiftekiLaxanikwn,xwriatikh,pswmiPolusporo,anapsuktiko,turokroketes,giaourtiMeli,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,?,?,?,?,?,?
guroKotopoulo,xwriatikh,saganaki,marouli,pswmiMauro,mpura,anapsuktiko,patates,milkshake,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,kaisara,aggourontomata,patates,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,patates,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,pagwto,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,patates,turokroketes,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,giaourtiMeli,milkshake,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,nero,aggourontomata,patates,giaourtiMeli,?
mpiftekiLaxanikwn,saganaki,pswmiMauro,pswmiPolusporo,anapsuktiko,turokroketes,pagwto,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,aggourontomata,patates,giaourtiMeli,milkshake,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,giaourtiMeli,?,?,?,?
guroKotopoulo,saganaki,pswmiLeuko,nero,xumos,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,froutosalata,patates,turokroketes,milkshake,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,kaisara,aggourontomata,patates,pagwto,?
guroKotopoulo,saganaki,pswmiLeuko,xumos,aggourontomata,patates,turokroketes,giaourtiMeli,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,mpura,anapsuktiko,nero,patates,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,giaourtiMeli,milkshake,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,turokroketes,milkshake,?
anapsuktiko,turokroketes,?,?,?,?,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,patates,pagwto,giaourtiMeli,milkshake,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,nero,patates,pagwto,?,?,?,?
marouli,kaisara,pagwto,giaourtiMeli,?,?,?,?,?,?,?
mpiftekiLaxanikwn,saganaki,pswmiPolusporo,anapsuktiko,turokroketes,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiMauro,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,pagwto,milkshake,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,aggourontomata,patates,turokroketes,milkshake
kalamari,xwriatikh,marouli,mpura,nero,patates,?,?,?,?,?
guroKotopoulo,xwriatikh,marouli,pswmiMauro,pswmiPolusporo,mpura,anapsuktiko,froutosalata,patates,pagwto,?
guroKotopoulo,xwriatikh,saganaki,marouli,kaisara,patates,?,?,?,?,?
kalamari,xwriatikh,marouli,mpura,froutosalata,patates,giaourtiMeli,?,?,?,?
guroKotopoulo,saganaki,marouli,pswmiLeuko,xumos,patates,?,?,?,?,?
mpiftekiLaxanikwn,xwriatikh,mpura,giaourtiMeli,?,?,?,?,?,?,?
mpiftekiLaxanikwn,pswmiPolusporo,anapsuktiko,aggourontomata,turokroketes,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,turokroketes,milkshake,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?
guroKotopoulo,xwriatikh,marouli,patates,giaourtiMeli,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,marouli,pswmiLeuko,anapsuktiko,patates,?,?,?
pswmiMauro,aggourontomata,?,?,?,?,?,?,?,?,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,froutosalata,patates,giaourtiMeli,milkshake,?
guroXoirino,kotompeikon,xwriatikh,saganaki,pswmiLeuko,anapsuktiko,patates,giaourtiMeli,?,?,?
pswmiMauro,xumos,kaisara,pagwto,?,?,?,?,?,?,?
xwriatikh,kaisara,froutosalata,kotompoukies,milkshake,?,?,?,?,?,?
